100000,Inside risks: the clock grows at midnight,524799,Inside the as/400,0.11804916549
100000,Inside risks: the clock grows at midnight,204549,Inside ODBC,0.11804916549
100000,Inside risks: the clock grows at midnight,138407,Inside Windows NT,0.0908095841575
100000,Inside risks: the clock grows at midnight,551423,Inside Windows NT,0.0908095841575
100000,Inside risks: the clock grows at midnight,806737,Byzantine clock synchronization,0.0867479486278
100226,Coherent functions and program checkers,802557,Program slicing,0.102871883709
100226,Coherent functions and program checkers,74871,Mirage: a coherent distributed shared memory design,0.0831211600727
100226,Coherent functions and program checkers,176577,A coherent distributed file cache with directory write-behind,0.0811169433187
100226,Coherent functions and program checkers,324179,Linear hash functions,0.0772474014488
100226,Coherent functions and program checkers,6503,How to construct random functions,0.0747132843379
100228,The wakeup problem,357176,The Byzantine Generals Problem,0.124262995399
100228,The wakeup problem,2144836,The quorum deployment problem,0.114800834209
100228,The wakeup problem,362389,A note on the confinement problem,0.108286194773
100228,The wakeup problem,1804,The drinking philosophers problem,0.108072813941
100228,The wakeup problem,830511,A Note on the Denial-of-Service Problem,0.0969495982013
100231,Efficient robust parallel computations,867482,The Complexity of Parallel Computations,0.321676899348
100231,Efficient robust parallel computations,321485,Scheduling Parallel Computations,0.314929129212
100231,Efficient robust parallel computations,888568,A GRAPH MODEL FOR PARALLEL COMPUTATIONS,0.247978791433
100231,Efficient robust parallel computations,358613,Asynchronous distributed simulation via a sequence of parallel computations,0.18960802884
100231,Efficient robust parallel computations,98741,The R*-tree: an efficient and robust access method for points and rectangles,0.178076898931
100262,An optimal algorithm for on-line bipartite matching,358537,An optimal algorithm for mutual exclusion in computer networks,0.16977934775
100262,An optimal algorithm for on-line bipartite matching,118233,On-line/off-line digital signatures,0.124179648117
100262,An optimal algorithm for on-line bipartite matching,112608,Optimal coteries,0.0945047267327
100262,An optimal algorithm for on-line bipartite matching,227256,Routing on longest-matching prefixes,0.082674102349
100262,An optimal algorithm for on-line bipartite matching,93365,From on-line to batch learning,0.0774139263307
